               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078682,            0.015385,                   0,           0.0018155,              2.2881,            0.014798,           0.0032352,            0.066937,            0.013182,                   0,            0.070048,            0.003328,            0.003328
                   1,            0.064498,            0.012475,                   0,             0.19471,             0.18425,                  -1,                  -1,            0.065683,            0.014626,                   0,            0.039718,           0.0063316,           0.0063316
                   2,            0.056328,            0.009538,                   0,             0.53431,              0.9665,                  -1,                  -1,            0.051756,            0.010666,                   0,           0.0090584,           0.0090052,           0.0090052
                   3,            0.051663,           0.0077166,                   0,             0.65658,              1.3098,                  -1,                  -1,            0.048571,           0.0078323,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.048069,            0.006769,                   0,             0.78645,              1.5628,                  -1,                  -1,            0.046277,           0.0069684,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.045327,           0.0061438,                   0,             0.81067,              1.7931,                  -1,                  -1,            0.043922,           0.0061196,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.042723,           0.0057185,                   0,             0.85484,              1.9883,                  -1,                  -1,            0.041161,           0.0056968,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.04084,           0.0054459,                   0,              0.8278,              1.9983,                  -1,                  -1,            0.042073,           0.0058087,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.039035,           0.0052224,                   0,             0.85542,              2.0911,                  -1,                  -1,            0.040152,           0.0054249,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.037318,           0.0050055,                   0,             0.86156,              2.1787,                  -1,                  -1,            0.038377,           0.0052839,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.036153,           0.0048374,                   0,             0.85854,              2.1776,                  -1,                  -1,            0.038023,           0.0051678,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.034341,           0.0046388,                   0,             0.85854,              2.2915,                  -1,                  -1,            0.036875,           0.0050649,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.032827,           0.0044252,                   0,             0.87918,              2.3769,                  -1,                  -1,            0.036168,           0.0048948,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.031389,           0.0042497,                   0,             0.87812,              2.2809,                  -1,                  -1,            0.035915,           0.0048772,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.029933,           0.0041003,                   0,             0.87257,              2.3971,                  -1,                  -1,             0.03552,           0.0048823,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.028625,           0.0039113,                   0,             0.88432,              2.3562,                  -1,                  -1,            0.034775,           0.0048396,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.027167,           0.0037547,                   0,             0.88333,               2.473,                  -1,                  -1,            0.034505,           0.0047452,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.025744,           0.0035918,                   0,             0.88506,               2.515,                  -1,                  -1,            0.034015,           0.0046578,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.024309,           0.0034408,                   0,             0.89563,              2.5154,                  -1,                  -1,            0.033764,           0.0046616,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.022972,           0.0032798,                   0,             0.90343,               2.476,                  -1,                  -1,            0.033518,           0.0047029,                   0,             0.00109,             0.00109,             0.00109
